id;name;geoid;geoname;value;datetime
805;Precio medio cuarto horario componente mercado diario;;;84.7;2026-01-02T08:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;84.8;2026-01-02T08:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;86.93;2026-01-02T08:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;97.5;2026-01-02T09:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;93;2026-01-02T09:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;86.5;2026-01-02T09:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;80.99;2026-01-02T09:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;98.97;2026-01-02T10:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;91.07;2026-01-02T10:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;84.52;2026-01-02T10:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;80;2026-01-02T10:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;90.64;2026-01-02T11:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;84.7;2026-01-02T11:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;82.53;2026-01-02T11:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;80.67;2026-01-02T11:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;80.67;2026-01-02T12:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;80;2026-01-02T12:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;79.99;2026-01-02T12:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;79.99;2026-01-02T12:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;71.48;2026-01-02T13:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;75;2026-01-02T13:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;75.1;2026-01-02T13:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;75.99;2026-01-02T13:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;75;2026-01-02T14:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;76;2026-01-02T14:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;79.99;2026-01-02T14:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;80.67;2026-01-02T14:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;80.67;2026-01-02T15:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;82.76;2026-01-02T15:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;86.58;2026-01-02T15:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;90.5;2026-01-02T15:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;89.31;2026-01-02T16:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;94.34;2026-01-02T16:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;97.2;2026-01-02T16:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;100.22;2026-01-02T16:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;94.46;2026-01-02T17:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;99.74;2026-01-02T17:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;100.46;2026-01-02T17:30:00+01:00
